text,intent,predicted_intent,correct
@601264 d'accord dès réception du formulaire nous traiterons le cas. Merci ^RA,Account / Contact Support,Product / Device Support,False
@487109 Please connect with our support team here: https://t.co/2t6DQoUmNZ for further assistance on it. ^RW,Order Tracking / Status,Product / Device Support,False
"@158511 Dafna, por motivos de seguridad el Departamento de Cuentas necesita verificar los dados de tu cuenta. ^DA",Order Tracking / Status,Product / Device Support,False
@319439 I understand and I have shared your comments as feedback with the relevant team. Please refer to the link for more info. ^HA,Order Tracking / Status,Late / Missing Delivery,False
@626224 Please give us a call here: https://t.co/hApLpMlfHN so we can look into this with you! ^TR,Order Tracking / Status,Product / Device Support,False
@503038 You should've received an email from us in response to the details you shared earlier. Kindly check for our email and reply to it for further assistance. ^NR,Late / Missing Delivery,Account / Contact Support,False
"@210808 Thank you! We've received your message, and we'll be in contact with you. ^JM",Delivery Date / Shipping,Account / Contact Support,False
@791889 Mhm that is strange! When you checked for the e-mail did you also check the spam/Junk folder? ^LS,Return / Refund,Account / Contact Support,False
@822437 わざわざリプライ恐れ入ります。当サイトの名をかたるフィッシング行為についてヘルプページでも注意喚起を行っておりますので、ご参照ください。https://t.co/k4jy2iTq1Y  RI,Return / Refund,Product / Device Support,False
@271684 Avez-vous signalé cela à notre SAV ? ^MA,Product / Device Support,Product / Device Support,True
"@227946 I'm sorry to hear this! When you have a chance, we'd like to look into it further with you here: https://t.co/JzP7hlRCV9^HC",Account / Contact Support,Product / Device Support,False
@399487 Amen to that! Thanks for sharing your experience with us. ^MJ,Account / Contact Support,Product / Device Support,False
@294659 Please contact us via phone or chat and we'll look into this for you: https://t.co/JzP7hlA23B ^RL,Account / Contact Support,Account / Contact Support,True
@345560 We'll not be able to check your information over Twitter. Request you to write back to the email you've (1/2) ^GK,Account / Contact Support,Account / Contact Support,True
"@775307 Je confirme 😜 Surtout avec le nouveau clavier, je pense que ça va être chaud. ^SB",Product / Device Support,Product / Device Support,True
"@206722 We'd like to look further into this with you in real-time, Julian. Please reach out to us here: https://t.co/JzP7hlA23B ^WJ",Damaged / Defective Product,Product / Device Support,False
"@133254 I'm sorry to hear of this, did you get an email advising why it was delayed? ^KI",Delivery Date / Shipping,Account / Contact Support,False
@220927 I'm sorry about this your parcel hasn't arrived! We want to be sure you are receiving your parcels when they are expected. Please reach out to us directly here so that we can take a look into this for you: https://t.co/JzP7hlA23B We'd like to help! ^ZW,Late / Missing Delivery,Late / Missing Delivery,True
@215430 Sorry for the trouble. Please connect with our support team here: https://t.co/00q4Sqj9zL and we'll this checked. ^KA,Late / Missing Delivery,Late / Missing Delivery,True
@334911 avez-vous signalé cela auprès de notre SAV ? ^ Ko,Order Tracking / Status,Product / Device Support,False
@236120 Sorry about this. Please fill out this secure form and a specialist will look into this for you https://t.co/R55eEQwSEs ^KM,Order Tracking / Status,Product / Device Support,False
"@315813 Hi, sorry to hear that your parcel was delayed. Please let us know if your order does not arrive on your revised delivery date of Wednesday. ^TI",Order Tracking / Status,Late / Missing Delivery,False
@120092 I understand there has been an inconvenience in your concern. We have your details and will contact you soon. ^GK,Order Tracking / Status,Account / Contact Support,False
"@145872 As they have account access, they would be in the best position to assist. Please contact us through the previously provided link. ^RR",Order Tracking / Status,Account / Contact Support,False
"@272341 Sobald uns deine Anfrage erreicht hat, sehen wir uns deinen Fall an und melden uns im Laufe des Tages. Viele Grüße ^TR",Order Tracking / Status,Product / Device Support,False
"@271121 We'd love to assist you! Please reach out to us here:  https://t.co/hApLpMlfHN
^GP",Order Tracking / Status,Product / Device Support,False
@428207 Let us look into it. Please reach out to us from the link here: https://t.co/TxK11znixD  and we will assist you accordingly. ^HR,Order Tracking / Status,Product / Device Support,False
