example_id,customer_tweet_id,customer_message,text,intent
1,2033453,@AmazonHelp Merci. Je parle au nom de ma compagne. Elle se chargera de remplir le questionnaire dès demain.,@601264 d'accord dès réception du formulaire nous traiterons le cas. Merci ^RA,Account / Contact Support
2,1582549,"@AmazonHelp Something on the lines of ""We're working to get this back up"" seeing it since yesterday",@487109 Please connect with our support team here: https://t.co/2t6DQoUmNZ for further assistance on it. ^RW,Order Tracking / Status
3,181000,"@AmazonHelp Me piden en resumen de mi tarjeta y tampoco recibo el resumen en papel, es electrónico... Y no tengo impresora... 🙄","@158511 Dafna, por motivos de seguridad el Departamento de Cuentas necesita verificar los dados de tu cuenta. ^DA",Order Tracking / Status
4,914175,@AmazonHelp And no one is delivering before 5 days. Noticed this since a few weeks. Why the change?,@319439 I understand and I have shared your comments as feedback with the relevant team. Please refer to the link for more info. ^HA,Order Tracking / Status
5,2126723,@AmazonHelp It says delivered ready for collection at 17.20pm but I received an email at 17.58pm saying there will be a delay,@626224 Please give us a call here: https://t.co/hApLpMlfHN so we can look into this with you! ^TR,Order Tracking / Status
6,2371293,@AmazonHelp Given the  details  many times.,@503038 You should've received an email from us in response to the details you shared earlier. Kindly check for our email and reply to it for further assistance. ^NR,Late / Missing Delivery
7,400827,@AmazonHelp Done,"@210808 Thank you! We've received your message, and we'll be in contact with you. ^JM",Delivery Date / Shipping
8,2847282,@AmazonHelp No I didn't,@791889 Mhm that is strange! When you checked for the e-mail did you also check the spam/Junk folder? ^LS,Return / Refund
9,2981913,@AmazonHelp お手数おかけして申し訳ありませんが、公式からのお返事にとても安心いたしました。ありがとうございます！,@822437 わざわざリプライ恐れ入ります。当サイトの名をかたるフィッシング行為についてヘルプページでも注意喚起を行っておりますので、ご参照ください。https://t.co/k4jy2iTq1Y  RI,Return / Refund
10,639433,"@AmazonHelp Bonsoir, oui c'est ma première commande sur le site",@271684 Avez-vous signalé cela à notre SAV ? ^MA,Product / Device Support
11,920910,@115830 @AmazonHelp What's going on Amazon?,"@227946 I'm sorry to hear this! When you have a chance, we'd like to look into it further with you here: https://t.co/JzP7hlRCV9^HC",Account / Contact Support
12,1188500,"@AmazonHelp ha! Awesome, keep up your 'spirit' (as a product category). Then @115850 would be a perfect place to by both: spirit &amp; 'chakna' 😅😀",@399487 Amen to that! Thanks for sharing your experience with us. ^MJ,Account / Contact Support
13,729203,"@AmazonHelp So i asked for a refund and they said ok that should be it sorted within 4-5 days, but i have no email from amazon",@294659 Please contact us via phone or chat and we'll look into this for you: https://t.co/JzP7hlA23B ^RL,Account / Contact Support
14,973636,"@AmazonHelp what I will do with email, provide me the number of courier boy who is going or suppose to deliver my product.",@345560 We'll not be able to check your information over Twitter. Request you to write back to the email you've (1/2) ^GK,Account / Contact Support
15,2774121,@AmazonHelp Oui Il faut attendre la semaine d’après à chaque fois. Mais bon ça reste un bon jeu.,"@775307 Je confirme 😜 Surtout avec le nouveau clavier, je pense que ça va être chaud. ^SB",Product / Device Support
16,382770,"@AmazonHelp It says expected yesterday, another says already delivered. I have none of these items.","@206722 We'd like to look further into this with you in real-time, Julian. Please reach out to us here: https://t.co/JzP7hlA23B ^WJ",Damaged / Defective Product
17,77465,"@AmazonHelp package was supposed to arrive last night. Now says don't contact until Saturday, but tracking info hasn't updated in 2 days. Anything you can do or help with? Even an eta?","@133254 I'm sorry to hear of this, did you get an email advising why it was delayed? ^KI",Delivery Date / Shipping
18,447153,"@115830 @AmazonHelp 12 days since placing my order and no delivery, meant to be delivered last Friday, didn't arrive, tracking then said sorry will be delivered by today, today still no package. What is going on?",@220927 I'm sorry about this your parcel hasn't arrived! We want to be sure you are receiving your parcels when they are expected. Please reach out to us directly here so that we can take a look into this for you: https://t.co/JzP7hlA23B We'd like to help! ^ZW,Late / Missing Delivery
19,421517,"@AmazonHelp Replacement option is not there, only refund and I want a replacement,pls create the same4me",@215430 Sorry for the trouble. Please connect with our support team here: https://t.co/00q4Sqj9zL and we'll this checked. ^KA,Late / Missing Delivery
20,905268,@AmazonHelp Euh c amazon qui ma livre,@334911 avez-vous signalé cela auprès de notre SAV ? ^ Ko,Order Tracking / Status
21,2187385,"@AmazonHelp I do appreciate the attention to the matter, but $10 isn't the fix I needed. I am looking for assurance they can actually drop items at door",@236120 Sorry about this. Please fill out this secure form and a specialist will look into this for you https://t.co/R55eEQwSEs ^KM,Order Tracking / Status
22,2732838,@AmazonHelp  https://t.co/ZXU0lSqUim,"@315813 Hi, sorry to hear that your parcel was delayed. Please let us know if your order does not arrive on your revised delivery date of Wednesday. ^TI",Order Tracking / Status
23,2449368,"@AmazonHelp Feel free to reach out to me but don't say that u 'get' my disappointment. Coz u don't. Period.
#shameonamazon",@120092 I understand there has been an inconvenience in your concern. We have your details and will contact you soon. ^GK,Order Tracking / Status
24,1384119,@AmazonHelp I haven’t had a phone call conversation about this,"@145872 As they have account access, they would be in the best position to assist. Please contact us through the previously provided link. ^RR",Order Tracking / Status
25,1310110,"@AmazonHelp Ok, werde ich gleich tun!","@272341 Sobald uns deine Anfrage erreicht hat, sehen wir uns deinen Fall an und melden uns im Laufe des Tages. Viele Grüße ^TR",Order Tracking / Status
26,637346,@AmazonHelp Sure. and its Tania.,"@271121 We'd love to assist you! Please reach out to us here:  https://t.co/hApLpMlfHN
^GP",Order Tracking / Status
27,1319918,@AmazonHelp My concern is that something which costs £65 is listed as Rs. 30000 on your site. Just want to know who should be looking into this?,@428207 Let us look into it. Please reach out to us from the link here: https://t.co/TxK11znixD  and we will assist you accordingly. ^HR,Order Tracking / Status
28,21518,@AmazonHelp I've contacted my bank as you asked to do so in email but my bank said Amazon need to raise complain,@120700 Sorry that the issue is still pending. May I know if you've contacted your bank &amp; filed a charge dispute? ^EM,Order Tracking / Status
29,1050711,@AmazonHelp I've tried Chrome &amp; IE but the same issue exists :( I've also reinstalled the app but whenever I click on checkout it comes up with this https://t.co/0S8QJH40QH,@368302 Can you contact us here: https://t.co/JzP7hlA23B? ^MC,Order Tracking / Status
30,1574459,"@AmazonHelp もう開封してしまったので、大丈夫です。
わざわざご丁寧にありがとうございます。
次からはこのような事がないよう、お願いいたします。",@485227 ご寛大なお言葉をいただきありがとうございます。このたびご迷惑をおかけしたことを真摯に受け止め、今後のサービス改善に努めて参ります。　リプライありがとうございました。　SM,Order Tracking / Status
31,1768968,@AmazonHelp Today is the 7th of October and the expected date has been repeatedly pushed back. Please can I get some help https://t.co/JaCyZemmWF,@531840 I apologize for the delay. Let's look into this in real time. Please call or chat here: https://t.co/IcrqzPZII9 ^BA,Late / Missing Delivery
32,1072178,@AmazonHelp This isn’t a return. This is a same day shipment that obviously isn’t coming same day.,@157633 We can be reached 24/7 with the link posted earlier. We can take a closer look at the missing order &amp; into avail options. ^EP,Order Tracking / Status
33,1868782,@AmazonHelp Not helping! Let it be..,"@558209 I'm sorry, it didn't work out. Your feedback has already been forwarded to the concerned team for review. ^HA",Order Tracking / Status
