text,intent
"@AmazonHelp The email has been sent, but still no progress",Account / Contact Support
"@AmazonHelp Yeah, Amazon Flex. Absolutely hopeless already emailed numerous times and total waste of time. Responses are embarrassing from such a big company. Instead of hiding behind emails, how’s about picking the phone up. Clueless &amp; messing with people lives. @115851",Account / Contact Support
"@AmazonHelp tracking ID 119106319937 says cudnt deliver coz I  couldn't be contacted. Got no call. And location is office , delivered before",Account / Contact Support
"@AmazonHelp UNRESOLVED, my account is still gone.",Account / Contact Support
@AmazonHelp I have already contacted them they were not even able to find my order. Dumb CS Executives. I was supposed to receive a cashback of Rs. 2500 being a prime member and paying via Pay Balance. Order Id -   403-2439472-2349934. Ridiculous Amazon. @115851,Account / Contact Support
"@115850 @115851 @AmazonHelp Its been 96 hours and 72 business hours no one has contacted me ...pathatic service.
Please look into this",Account / Contact Support
@AmazonHelp I have not been emailed or texted with the access code for package that was delivered Saturday,Account / Contact Support
"@AmazonHelp I did not get an e-mail or any other notification telling me that my order had updated in any way, shipped or delayed.",Account / Contact Support
@AmazonHelp what’s the purpose of this account if I have to call 1-800# after posting here???,Account / Contact Support
"@AmazonHelp That's the issue, the purchases were made by colleagues on a corporate card outside of my account. Any way you can help?",Account / Contact Support
"@AmazonHelp I’m trying to subscribe but I can’t, I already have an Amazon account. I’m from Peru, is that the problem?",Account / Contact Support
"@AmazonHelp Yo dawg homie meister G. I contacted a service rep and he just said hit you guys up tomorrow. But long story short: Ordered that gucci Xenoblade that came out today and it says delivered but sheeeit that ain't foolin' no one y'hear? Looked high n' low, more ghost than a ghost 👻",Account / Contact Support
@AmazonHelp I placed an order and it was same day deliver for today. Just got an email saying theres a delay I want to know if its all items or just one,Account / Contact Support
@AmazonHelp They have confirmed that the successful delivery location coordinates are on the account. I propose that the deliveries don't 'fail' but they are never attempted in the first place.,Account / Contact Support
@AmazonHelp It just says expected from 25-30th Nov and no email has been sent advising of a delay? Can’t cancel the order either as it’s been dispatched.,Account / Contact Support
"@AmazonHelp Then how should I provide and contact you, the representatives on the call were not helpful at all.",Account / Contact Support
@AmazonHelp Fucking assholes i want product not emails. Emails are not going to solve my problem already replied to you mail u dumb people. https://t.co/iikwIJTz5Z,Account / Contact Support
I ordered something from amazon last month and it still hasn't arrived. I've emailed twice and I've heard nothing back. @AmazonHelp pls help :(,Account / Contact Support
@AmazonHelp Still have not received the product . . Neither replacement or refund isuued and nor i was contacted by you . Really frustrating @115850,Account / Contact Support
"@AmazonHelp Contactaré el lunes
Muchas gracias",Account / Contact Support
"@AmazonHelp &gt;moment. Our Customer Service Associates are working hard to respond as quickly as possible. You may prefer to contact us by e-mail."" Makes&gt;",Account / Contact Support
"@AmazonHelp Yes, I received a message saying my payment was declined, which I immediately went on to my account to fix, as soon as I got the email.",Account / Contact Support
@AmazonHelp It’s only giving me an option to email? Can’t understand why you split the order into two parcels and why one was ‘attempted’ yet the others in some other random persons letterbox???? Seriously unimpressed I’ve been sick and waiting here for 10 hours,Account / Contact Support
"@AmazonHelp My account is amazon.ca ,can i use this link?",Account / Contact Support
@AmazonHelp I just want my money back from my amazon pay account. Dont dare to give you another chance to make my planning spoiled. Pls pay my money.,Account / Contact Support
"@AmazonHelp i am still waiting, ran out of puppy pee pads and new play pen, needed emergency level. was told id get some comp in email, but nothing!",Account / Contact Support
"@AmazonHelp need to change my accnts mobile number. Previous email id now invalid, so while login the code being sent to old id. Pls help",Account / Contact Support
@AmazonHelp What is this in regards to I have contacted Customer Service still I no help received,Account / Contact Support
"@AmazonHelp Wat do u mean""get access to mail account""?I chckd ä__email__ &amp; i DO NOT hav ny email except 1on 28Sep on the order cancellation",Account / Contact Support
"@AmazonHelp how can a carrier claim attempted delivery when not only was I home, no attempt was made to contact???",Account / Contact Support
"@AmazonHelp if you could give me email or somethingSo i can identify myself, so you can fix my account and the cancelled orders on the bits @AmazonHelp",Account / Contact Support
@AmazonHelp Ya lo he hecho y se han puesto en contacto conmigo. Gracias.,Account / Contact Support
"@AmazonHelp So,i waitd till d date as per your suggestin n got an email dats its canceled. Wow! Despite 4-5 emails to CC abt shipping issues, nthg hapnd",Account / Contact Support
@AmazonHelp You please check my account through E.ID &amp; No. I provided as I already wasted my energy to explain it to your repr. for almost 10 times.,Account / Contact Support
@AmazonHelp Only Facebook is linked and I rarely use Facebook. I will be changing my password and unblinking Facebook just in case,Account / Contact Support
"@AmazonHelp Yes, I got an email minutes after the phonecall. It also said ""Please allow up to 24hrs to investigate this"". I want someone to speak to me as promised to give me an update!",Account / Contact Support
"@AmazonHelp Yes. My items will be delivered today uptown 9PM  I want a more definitive time. Also your customer service representative says half of my items aren't coming today as promised. The app, website and emails disagree with this. Not good enough.",Account / Contact Support
@AmazonHelp I have reached out to the team over phone. Have assured me that the a/c has been temp disabled and is under security review. Please confirm.,Account / Contact Support
@AmazonHelp Pl give your email adress,Account / Contact Support
@AmazonHelp Have contacted you thrice on the chat since yesterday and every time your exec gives assurance but the order is not yet delivered,Account / Contact Support
