text,intent,predicted_intent,confidence,correct
@601264 d'accord dès réception du formulaire nous traiterons le cas. Merci ^RA,Account / Contact Support,Product / Device Support,0.8437271278431571,False
@487109 Please connect with our support team here: https://t.co/2t6DQoUmNZ for further assistance on it. ^RW,Order Tracking / Status,Product / Device Support,0.44298996466393714,False
"@158511 Dafna, por motivos de seguridad el Departamento de Cuentas necesita verificar los dados de tu cuenta. ^DA",Order Tracking / Status,Product / Device Support,0.5893163084288574,False
@319439 I understand and I have shared your comments as feedback with the relevant team. Please refer to the link for more info. ^HA,Order Tracking / Status,Product / Device Support,0.6563030110335537,False
@626224 Please give us a call here: https://t.co/hApLpMlfHN so we can look into this with you! ^TR,Order Tracking / Status,Product / Device Support,0.6191432254484859,False
@503038 You should've received an email from us in response to the details you shared earlier. Kindly check for our email and reply to it for further assistance. ^NR,Late / Missing Delivery,Account / Contact Support,0.9263252562826731,False
"@210808 Thank you! We've received your message, and we'll be in contact with you. ^JM",Delivery Date / Shipping,Account / Contact Support,0.6244191878968129,False
@791889 Mhm that is strange! When you checked for the e-mail did you also check the spam/Junk folder? ^LS,Return / Refund,Account / Contact Support,0.8957411948470206,False
@822437 わざわざリプライ恐れ入ります。当サイトの名をかたるフィッシング行為についてヘルプページでも注意喚起を行っておりますので、ご参照ください。https://t.co/k4jy2iTq1Y  RI,Return / Refund,Product / Device Support,0.7421848688192414,False
@271684 Avez-vous signalé cela à notre SAV ? ^MA,Product / Device Support,Product / Device Support,0.8704383440696836,True
"@227946 I'm sorry to hear this! When you have a chance, we'd like to look into it further with you here: https://t.co/JzP7hlRCV9^HC",Account / Contact Support,Product / Device Support,0.6288417901994794,False
@399487 Amen to that! Thanks for sharing your experience with us. ^MJ,Account / Contact Support,Product / Device Support,0.7735136181139837,False
@294659 Please contact us via phone or chat and we'll look into this for you: https://t.co/JzP7hlA23B ^RL,Account / Contact Support,Account / Contact Support,0.8935845251098193,True
@345560 We'll not be able to check your information over Twitter. Request you to write back to the email you've (1/2) ^GK,Account / Contact Support,Account / Contact Support,0.983918890071951,True
"@775307 Je confirme 😜 Surtout avec le nouveau clavier, je pense que ça va être chaud. ^SB",Product / Device Support,Account / Contact Support,0.8368145800563941,False
"@206722 We'd like to look further into this with you in real-time, Julian. Please reach out to us here: https://t.co/JzP7hlA23B ^WJ",Damaged / Defective Product,Product / Device Support,0.4937740398250818,False
"@133254 I'm sorry to hear of this, did you get an email advising why it was delayed? ^KI",Delivery Date / Shipping,Late / Missing Delivery,0.9018744931302963,False
@220927 I'm sorry about this your parcel hasn't arrived! We want to be sure you are receiving your parcels when they are expected. Please reach out to us directly here so that we can take a look into this for you: https://t.co/JzP7hlA23B We'd like to help! ^ZW,Late / Missing Delivery,Delivery Date / Shipping,0.345224141506046,False
@215430 Sorry for the trouble. Please connect with our support team here: https://t.co/00q4Sqj9zL and we'll this checked. ^KA,Late / Missing Delivery,Damaged / Defective Product,0.4053091140674747,False
@334911 avez-vous signalé cela auprès de notre SAV ? ^ Ko,Order Tracking / Status,Product / Device Support,0.7440585667829537,False
@236120 Sorry about this. Please fill out this secure form and a specialist will look into this for you https://t.co/R55eEQwSEs ^KM,Order Tracking / Status,Product / Device Support,0.3360906223848886,False
"@315813 Hi, sorry to hear that your parcel was delayed. Please let us know if your order does not arrive on your revised delivery date of Wednesday. ^TI",Order Tracking / Status,Late / Missing Delivery,0.9347945509651518,False
@120092 I understand there has been an inconvenience in your concern. We have your details and will contact you soon. ^GK,Order Tracking / Status,Account / Contact Support,0.6914454138595508,False
"@145872 As they have account access, they would be in the best position to assist. Please contact us through the previously provided link. ^RR",Order Tracking / Status,Account / Contact Support,0.9991462612552763,False
"@272341 Sobald uns deine Anfrage erreicht hat, sehen wir uns deinen Fall an und melden uns im Laufe des Tages. Viele Grüße ^TR",Order Tracking / Status,Product / Device Support,0.9461065384049762,False
"@271121 We'd love to assist you! Please reach out to us here:  https://t.co/hApLpMlfHN
^GP",Order Tracking / Status,Product / Device Support,0.5117322622144143,False
@428207 Let us look into it. Please reach out to us from the link here: https://t.co/TxK11znixD  and we will assist you accordingly. ^HR,Order Tracking / Status,Product / Device Support,0.6726558419453788,False
@120700 Sorry that the issue is still pending. May I know if you've contacted your bank &amp; filed a charge dispute? ^EM,Order Tracking / Status,Account / Contact Support,0.4847117518389073,False
@368302 Can you contact us here: https://t.co/JzP7hlA23B? ^MC,Order Tracking / Status,Account / Contact Support,0.6629150731876597,False
@485227 ご寛大なお言葉をいただきありがとうございます。このたびご迷惑をおかけしたことを真摯に受け止め、今後のサービス改善に努めて参ります。　リプライありがとうございました。　SM,Order Tracking / Status,Product / Device Support,0.8740793069122704,False
@531840 I apologize for the delay. Let's look into this in real time. Please call or chat here: https://t.co/IcrqzPZII9 ^BA,Late / Missing Delivery,Product / Device Support,0.3980691847239603,False
@157633 We can be reached 24/7 with the link posted earlier. We can take a closer look at the missing order &amp; into avail options. ^EP,Order Tracking / Status,Late / Missing Delivery,0.7919097371149788,False
"@558209 I'm sorry, it didn't work out. Your feedback has already been forwarded to the concerned team for review. ^HA",Order Tracking / Status,Product / Device Support,0.568322358809666,False
@127186 We've sent the correspondence to your registered email ID. Kindly check it here: https://t.co/8DAc10S7ww ^GK,Order Tracking / Status,Account / Contact Support,0.9916118246512549,False
@201315 Thanks for the update. We'll check and get back to you at the earliest. ^HA,Order Tracking / Status,Late / Missing Delivery,0.43178039257468587,False
"@287420 I understand your concern. However, did you happen to report this to our support team? ^MN",Order Tracking / Status,Order Tracking / Status,0.2775587929235292,True
@669577 I have checked our records and I see that we have received your details now. Our team is working on it and we'll get back to you at the earliest. ^RI,Order Tracking / Status,Account / Contact Support,0.8231980345890219,False
@452178 We'd be sure to investigate the issue completely and ensure these instances do not recur. Appreciate your understanding. ^ZH,Order Tracking / Status,Product / Device Support,0.8267105745588113,False
@439603 Oh no! Who was the carrier of the packages? https://t.co/Y5jpI9gRhE ^RM,Order Tracking / Status,Delivery Date / Shipping,0.5176745439572286,False
@242503 I get your disappointment. We'll work on it and get back to you at the earliest with regards to your concern. ^JS,Order Tracking / Status,Product / Device Support,0.36266728818615585,False
@424985 Oh no! Will you clarify the delivery date given at check out? You can find that here: https://t.co/Y5jpI9gRhE?  ^BA,Return / Refund,Delivery Date / Shipping,0.8957634863219314,False
@364675 Please report this to our team here: https://t.co/vlvfJr4nN9 and we'll get this sorted soon. ^RS,Delivery Date / Shipping,Late / Missing Delivery,0.3905669003824393,False
@471751 I've noted this down and will surely forward this as a feedback internally and make sure this is worked upon in the future.^SS,Late / Missing Delivery,Product / Device Support,0.5929445079946386,False
@274548 I am very sorry to hear this. Delays are rare but do occur on occasions. Please do keep us updated on the arrival.^CR,Late / Missing Delivery,Late / Missing Delivery,0.9790278623538299,True
@210098 The resolution provided to you via email is the best. Appreciate your understanding. ^AP,Order Tracking / Status,Account / Contact Support,0.7859975938900101,False
"@491340 Also, please don’t provide your order/account details as we consider them to be personal information. 2/3 ^SB",Damaged / Defective Product,Account / Contact Support,0.8946283307476662,False
@683414 Er... Sorry about that. What does the tracking for the order say here: https://t.co/Y5jpI9gRhE? ^TR,Product / Device Support,Order Tracking / Status,0.9992752598323722,False
"@529494 We'd like to look into this with you. When you can, please reach us via phone or chat here: https://t.co/CYqkdUakWJ ^SJ",Damaged / Defective Product,Account / Contact Support,0.7766047980021921,False
"@147586 You're welcome, if you need anything else then please don't hesitate to let us know. ^KI",Late / Missing Delivery,Product / Device Support,0.36969559110337574,False
"@661277 I understand your disappointment. However, as the content is geo-restricted, you'll not be able to access the prime video content in Singapore. ^AP",Delivery Date / Shipping,Product / Device Support,0.7370964360687688,False
"@797127 We'd like to bring this to the attention of our Logistics team for further review. When you have a moment, please relay order specifics to us via the following secure link, and we'll be in touch: https://t.co/W7BgDBeee5 ^MV",Late / Missing Delivery,Order Tracking / Status,0.4504634229433638,False
"@442621 I apologize! To clarify, did you receive the wrong item, or did you randomly receive something you didn't order? ^NC",Late / Missing Delivery,Delivery Date / Shipping,0.36298154196313526,False
"@149982 Gabriella, você sabe qual desses livros vai ler primeiro?. Ficamos curiosos. 🤔📚^NB",Return / Refund,Account / Contact Support,0.6469078402602023,False
@373139 Have you tried checking the tracking on the carrier's website? They may have additional info. ^JA,Account / Contact Support,Order Tracking / Status,0.9901560039874864,False
@168355 Sorry for the confusion. Could you confirm if you've replied to the email you've recieved from our team? ^MM,Product / Device Support,Account / Contact Support,0.9885734101953393,False
@293797 Kindly wait until the estimated delivery date. I'm positive the product will be delivered on time. Do keep us posted. ^AK,Damaged / Defective Product,Delivery Date / Shipping,0.8178898404117808,False
@150734 Kindly wait until the estimated delivery date mentioned here: https://t.co/pYHdlcj0Ot and I'm positive your order will be delivered. ^SH,Return / Refund,Delivery Date / Shipping,0.7415321584006913,False
"@647618 That's strange, Varun. If you've responded to the email correspondence, you will receive an update shortly. Request you to wait. If you still don't receive any correspondence, please get back to us so that we will assist you.  ^NK",Delivery Date / Shipping,Account / Contact Support,0.9777566222522447,False
@336911 it would not be posted. (2/2) ^KA,Account / Contact Support,Product / Device Support,0.7071109578678538,False
"@627410 Hi Mike, please submit your details in this secure form so that we can look into it further: https://t.co/R55eEQwSEs -Agi T",Product / Device Support,Account / Contact Support,0.8216157179778494,False
@664790 I'm sorry for the account issues! Please reach out here: https://t.co/FGTMFSd8Rn so we can take a look into this for you. ^AH,Account / Contact Support,Account / Contact Support,0.9356722147613565,True
@683076 Certainly not the kind of experience we'd want you to have. I'd like to take a closer look at this. Please share your details here: https://t.co/beaaDm0muc and I’ll contact you soon. ^SM,Product / Device Support,Account / Contact Support,0.5801209804552357,False
"@192058 Sorry about the stretch, please drop in your details here: https://t.co/GIJyeYqKE0 and we'll reach out to you. ^MS",Account / Contact Support,Account / Contact Support,0.44989526759159176,True
"@452590 As you've shared your details, we'll work on it and get back to you at the earliest. ^HN",Account / Contact Support,Late / Missing Delivery,0.529331246364454,False
@242948 Je vous en prie :) Passez un bon week-end😊,Late / Missing Delivery,Product / Device Support,0.7890759789415641,False
"@639881 Avez-vous également signalé ces incidents à notre SAV ? 
^KE",Order Tracking / Status,Product / Device Support,0.864545659490307,False
"@164002 I understand, but unfortunately we do not have access to your account or details via Twitter. We'd still like to help! Just to clarify, can you tell us what the current order status is showing here: https://t.co/Y5jpI9gRhE ^SC",Return / Refund,Order Tracking / Status,0.8797845124809957,False
@155474 Se refiere a que escribas en el documento del estado de cuenta los últimos 4 dígitos del número que aparece en la parte frontal de tu tarjeta ^AR,Delivery Date / Shipping,Product / Device Support,0.4623079399455677,False
"@171427 hence is dynamic. However, I'll share your comments as feedback internally. 2/2^EM",Late / Missing Delivery,Product / Device Support,0.9602111871947374,False
@204354 クレジットカードでご注文いただいた場合、商品の発送時にご請求いたします。自動的に行われますので、発送までお待ちください。 EK,Return / Refund,Product / Device Support,0.7207443733101907,False
@687045 We would like to have a look at this issue. Please provide your details: https://t.co/MBAcWSvzBH Kind regards ^TR,Return / Refund,Damaged / Defective Product,0.38248174353080083,False
"@333862 (1/2) I understand how hurt and frustrating this must feel. At the end of the chat, you should have been able to leave feedback.",Delivery Date / Shipping,Product / Device Support,0.8995818188129646,False
@155862 We're unable to view account or order details via Twitter to arrange a collection. Please contact us via the link ^CN had provided. ^AD,Order Tracking / Status,Account / Contact Support,0.9554120207483076,False
@144472 Por gentileza entre em contato com o nosso Serviço de Atendimento no seguinte link Scott: https://t.co/ouAOLcNWp4 ^JJ,Product / Device Support,Product / Device Support,0.7675353983652803,True
"@327655 The e-mail/ survey/communication you received wasn't from Amazon.in. We recommend that you delete the e-mail/ do not respond. For your protection, do not respond to it, and do not open any attachments or click any links it contains. ^SH",Return / Refund,Account / Contact Support,0.957325781895959,False
@255941 You can read more on potential delivery restrictions via our help page: https://t.co/0ZCM8LsDAJ ^KI,Return / Refund,Delivery Date / Shipping,0.9746766979042769,False
"@494483 Entiendo, por favor contactanos a través de este enlace para brindarte más información: https://t.co/OjvUxwnzPe . ^MB",Delivery Date / Shipping,Account / Contact Support,0.6983367398929484,False
@277598 I'm so sorry for the trouble! Please contact us here for additional options: https://t.co/hApLpMlfHN ^MO,Product / Device Support,Account / Contact Support,0.40230735429244335,False
@501789 We'd like a chance to look into this in real-time! Please reach out to us via chat or phone here: https://t.co/hApLpMlfHN ^WT,Late / Missing Delivery,Product / Device Support,0.622069061975525,False
"@129257 For future deliveries, you can set unattended delivery preferences with us: https://t.co/tagfgnIjMt. Please let us know if you still need us. We're here for you! ^KJ",Order Tracking / Status,Delivery Date / Shipping,0.9297529809413525,False
@294361 Were you emailed to advise the refund was requested?^CD,Late / Missing Delivery,Account / Contact Support,0.9188483895226197,False
"@117801 (2/2) If we’ve missed the date in our order confirmation e-mail, please let us know here: https://t.co/hApLpMlfHN! ^WT",Delivery Date / Shipping,Account / Contact Support,0.522304208864468,False
@393065 and we'll assist you accordingly. ^SU(3/3),Return / Refund,Late / Missing Delivery,0.4597088203936202,False
@363009 We'd like to look into this. Send us more details about this order here: https://t.co/9Kx9wleaeW ^CL,Damaged / Defective Product,Late / Missing Delivery,0.4426367587209429,False
@362766 Contact our customer service here: https://t.co/tzC7rdtO2F; my colleagues will be pleased to assist you. ^ST,Product / Device Support,Account / Contact Support,0.5652524170982746,False
@121290 Kindly contact our team here: https://t.co/vlvfJr4nN9 and we'll have this checked. ^GK,Account / Contact Support,Product / Device Support,0.42355173070659113,False
@133051 Thanks a bunch for dropping your details. We shall reach at the earliest to make things right for you. ^CB,Order Tracking / Status,Late / Missing Delivery,0.7179920482304145,False
@670189 I'm sorry your package hasn't shown! Who was the carrier for this order? That information can be found here: https://t.co/Y5jpI9gRhE ^QJ,Late / Missing Delivery,Order Tracking / Status,0.7960356710080091,False
@182725 What information or options were provided when you spoke to us? We'd like to help get this resolved. ^ZW,Return / Refund,Product / Device Support,0.6047915644051434,False
@175082 Sorry for the hassle. Please share your details here: https://t.co/GIJyeY99fq and I'll get back to you. ^HN,Delivery Date / Shipping,Account / Contact Support,0.3342566574384516,False
@171265 your order/account details as we consider them to be personal information. Our Twitter page is visible to public. ^PB (2/2),Delivery Date / Shipping,Account / Contact Support,0.609675377487145,False
@186218 Please don't provide your order details as we consider it personal information. Our twitter page is visible to public.(2/2) ^CB,Delivery Date / Shipping,Order Tracking / Status,0.24612337202288015,False
"@496690 Thank you for confirming, Ben! Please keep us posted on how the chat goes. We're here for you! ^FD",Return / Refund,Account / Contact Support,0.3450746038009641,False
@722948 Apologies for the delivery of the defective product. I’d like to help you. Please share your details here: https://t.co/beaaDm0muc and we’ll contact you soon. ^JS,Delivery Date / Shipping,Damaged / Defective Product,0.9825035362344193,False
@190898 That's quite a remark. Could you please tell us what went wrong so we can help you?,Delivery Date / Shipping,Damaged / Defective Product,0.9338142798726244,False
@172502 Could you please specify which show are you concerned about? ^HR,Delivery Date / Shipping,Product / Device Support,0.7766700904429704,False
"@386592 Let's look into available options together, Sam! Please reach us by phone or chat here: https://t.co/JzP7hlA23B ^AB",Return / Refund,Account / Contact Support,0.35243421792431057,False
@170230 No problem - let us know if you have any further issues ^TD,Return / Refund,Product / Device Support,0.45221398785478223,False
@442795 We've received your details and will get back to you with an update at the earliest. ^AU,Return / Refund,Account / Contact Support,0.6520836089544185,False
@299660 Comprendo. ¿Qué opciones te indicaron nuestros compañeros de Soporte al Cliente? ^DA,Damaged / Defective Product,Product / Device Support,0.8486860662346941,False
"@320551 El placer de tenerte como cliente es todo nuestro ❤️. Cuéntanos, ¿qué compraste? ^AZ https://t.co/OEnFyXGg0F",Damaged / Defective Product,Product / Device Support,0.8709880946434004,False
@463004 I'm sorry for any inconvenience. Could you tell us more about the issue at hand? ^GM,Damaged / Defective Product,Product / Device Support,0.42914585150438767,False
@322582 Dann melde dich bitte mal bei unseren Kollegen: https://t.co/MBAcWSvzBH  ^SK,Product / Device Support,Product / Device Support,0.8130523707239754,True
@702037 Please reach out to us using the link provided and we'll be glad to investigate this further: https://t.co/hApLpMlfHN ^FJ,Product / Device Support,Product / Device Support,0.6563807827646362,True
@358641 So sorry your order was damaged! Let's see what additional options we have to get this sorted here: https://t.co/Zm7a791vFm ^JZ,Damaged / Defective Product,Damaged / Defective Product,0.8218185645785459,True
"@187653 When asking which domain, we are referring to which site you used to purchase. Such as, .com, .co.uk., .ca ^AG",Account / Contact Support,Product / Device Support,0.5602780436018276,False
"@191865 We'd like to have a specialist look into this, please send us more details here: https://t.co/VhAZAd1agL^CO",Product / Device Support,Product / Device Support,0.39777642220923354,True
@683076 We've received your details and we'll reach out to you soon. ^GK,Account / Contact Support,Account / Contact Support,0.7774183390911273,True
@329208 I've just checked and we've received your details. Please allow us some time and we'll reach out to you. ^KA,Late / Missing Delivery,Account / Contact Support,0.8295207166805308,False
@274935 here: https://t.co/2t6DQoUmNZ we'll reach out to you soon. 2/2^AP,Late / Missing Delivery,Delivery Date / Shipping,0.37204788502380126,False
"@806019 En effet, en cas d'absence le colis peut être remis à votre entourage afin que vous le receviez plus rapidement, vous trouverez cette information mentionnée ici : https://t.co/g4IQwmWkZd.
^KE",Order Tracking / Status,Account / Contact Support,0.5116077163400611,False
@385929 Have you reached out to the carrier directly? ^RS,Return / Refund,Account / Contact Support,0.3131517760010376,False
"@281472 Please don't provide your details, as we consider it to be personal information. Our Twitter page is visible to the public. ^AM",Delivery Date / Shipping,Account / Contact Support,0.75274643598159,False
@351390 Quand est-ce que l'enquête a été ouverte? ^SM,Delivery Date / Shipping,Product / Device Support,0.9428973873970758,False
"@442784 Hey, sorry to hear. When did you purchase the book? Was the book purchased via a seller or from Amazon directly? ^TP",Return / Refund,Delivery Date / Shipping,0.4626109821667835,False
@131416 What was advised?^CN,Product / Device Support,Product / Device Support,0.6175917175229896,True
"@650856 Thanks for clarifying, Scott! Please share the number w/ us given in the email so we can review upon contacting us here: https://t.co/zYVX1Qi29G so we can help review your best options. ^TM",Return / Refund,Account / Contact Support,0.8890882962605765,False
"@245190 I'm sorry, seems like we haven't received your details yet. Kindly drop in your information again through the link provided earlier and we'll reach out to you at the earliest. Appreciate your understanding. ^EM",Return / Refund,Account / Contact Support,0.6427633190431173,False
@652213 We'd like to look into this for you. Please send us your information and additional details at: https://t.co/2qEWRIIxHY ^LI,Return / Refund,Account / Contact Support,0.43505617925275963,False
"@118925 Late order usually arrive the next business day. If your order hasn't arrived by 8:00 PM tomorrow, please let us know. ^LR",Return / Refund,Late / Missing Delivery,0.9522439863175973,False
@189994 you add the item to your cart from the product detail page.A timer will show how long you have to claim the discount. 2/2^EM,Delivery Date / Shipping,Product / Device Support,0.27350483527763925,False
"@533146 We're still here for you! Please, reach us via phone/chat to explore options together: https://t.co/hApLpMlfHN ^JE",Delivery Date / Shipping,Product / Device Support,0.4284015443212671,False
@183303 Amazon is a marketplace for sellers and buyers. All After sales services (warranty and repairs) are handled (2/3) ^VM,Late / Missing Delivery,Damaged / Defective Product,0.7443638689482925,False
@233041 Please don’t provide your order details as it is personal information. Our page is visible to the public.2/2^HN,Order Tracking / Status,Delivery Date / Shipping,0.39424060156345453,False
@515222 You're welcome! Please let us know if we may further assist.  We're here to help where we can. ^KL,Order Tracking / Status,Product / Device Support,0.521039473081749,False
"@482501 Je n'en ai jamais entendu parlé 😶 Me conseillez-vous de le lire ? 
^ARC",Order Tracking / Status,Product / Device Support,0.8862247684464116,False
"@174500 Thanks for letting us know, Ron. Keep us posted if your order does not arrive today as per the tracking.^TI",Late / Missing Delivery,Order Tracking / Status,0.9456958066219363,False
@738484 We'd like to look into this with you but we're not able to access your membership details from Twitter. Please contact us via phone or chat here: https://t.co/JzP7hlA23B ^KH,Delivery Date / Shipping,Account / Contact Support,0.9813771045504558,False
"@810149 Oh no! Have you had a customer service issue? Without giving account details, please tell us more about your situation. We'd love to help. ^BE",Damaged / Defective Product,Account / Contact Support,0.9120705883432748,False
"@483870 Meld dich doch einfach mal direkt bei uns, im Amazon.de Social Media Team, und wir schauen uns das an: https://t.co/br7bhrlJn8 ^DW",Account / Contact Support,Account / Contact Support,0.5268624801685835,True
"@745480 I'm sorry for the troubles! You can view the info about return shipping here: https://t.co/qY0XsAzwpU
Hope this helps! ^LL",Product / Device Support,Return / Refund,0.8736068638143781,False
"@192640 Sorry for the delay. However, the glitch has been rectified. Thank you once again for bringing this to our notice. ^PR",Product / Device Support,Damaged / Defective Product,0.5536680939681289,False
@518718 とんでもないことでございます。今後も万が一ご不安なことがございましたら、ご遠慮なくお知らせください。 YM,Product / Device Support,Product / Device Support,0.7082759393703626,True
"@672192 What Amazon website do you have your book on? UK, US, FR etc ^MC",Damaged / Defective Product,Account / Contact Support,0.3378691923253392,False
@504352 We have made a note of your comments and shared them internally. We will certainly work on it to improve your shopping experience. ^CB,Damaged / Defective Product,Product / Device Support,0.6371217364279141,False
@242299 Sorry to hear that. Can I ask if you've reported these issues to us so that we could look in to it?^TI,Return / Refund,Late / Missing Delivery,0.37316078727373186,False
